latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
27.75467,84.68649,367,0.56,0.69,2025-03-04,0820,N,VIIRS,h,2.0NRT,297.31,10.33,D
27.75421,84.67887,336.69,0.56,0.69,2025-03-04,0820,N,VIIRS,n,2.0NRT,293.66,10.33,D
28.08523,84.35925,329.86,0.54,0.68,2025-03-04,0820,N,VIIRS,n,2.0NRT,296.43,3.37,D
28.05241,82.62389,352.13,0.42,0.61,2025-03-04,0820,N,VIIRS,n,2.0NRT,302.8,6.38,D
29.07338,82.54759,335.27,0.43,0.62,2025-03-04,0822,N,VIIRS,n,2.0NRT,287.34,6.13,D
28.83226,82.43044,334.05,0.42,0.61,2025-03-04,0822,N,VIIRS,n,2.0NRT,298,5.68,D
28.87441,82.30035,367,0.41,0.61,2025-03-04,0822,N,VIIRS,h,2.0NRT,298.87,10.33,D
28.7877,80.24794,333.13,0.62,0.54,2025-03-04,0822,N,VIIRS,n,2.0NRT,299.88,3.45,D
28.7927,80.24739,328.34,0.62,0.54,2025-03-04,0822,N,VIIRS,l,2.0NRT,299.92,3.45,D
28.80826,80.25217,337.38,0.62,0.54,2025-03-04,0822,N,VIIRS,n,2.0NRT,298.76,10.58,D
28.81883,80.25745,354.21,0.62,0.54,2025-03-04,0822,N,VIIRS,n,2.0NRT,301.22,21.5,D
29.06144,82.54232,353.98,0.43,0.62,2025-03-04,0822,N,VIIRS,n,2.0NRT,303.72,7.1,D
29.06119,82.53866,329.21,0.43,0.62,2025-03-04,0822,N,VIIRS,n,2.0NRT,302.57,7.1,D
29.06765,82.54845,367,0.43,0.62,2025-03-04,0822,N,VIIRS,h,2.0NRT,301.61,13.93,D
29.06794,82.55257,348.33,0.43,0.62,2025-03-04,0822,N,VIIRS,n,2.0NRT,297.56,13.93,D
29.06741,82.54493,329,0.43,0.62,2025-03-04,0822,N,VIIRS,n,2.0NRT,300.84,9.27,D
29.06718,82.54173,329.61,0.43,0.62,2025-03-04,0822,N,VIIRS,l,2.0NRT,301.52,9.27,D
29.07359,82.55071,326.83,0.43,0.62,2025-03-04,0822,N,VIIRS,n,2.0NRT,286.08,5.81,D
27.90118,83.45161,310.97,0.61,0.54,2025-03-04,2046,N,VIIRS,n,2.0NRT,283.75,1.28,N
27.72479,84.81382,295.58,0.37,0.58,2025-03-04,2046,N,VIIRS,n,2.0NRT,284.96,0.32,N
27.90576,83.45416,298.68,0.61,0.54,2025-03-04,2046,N,VIIRS,n,2.0NRT,284.48,1.28,N
27.90394,83.43937,319.53,0.61,0.54,2025-03-04,2046,N,VIIRS,n,2.0NRT,284.97,4.36,N
27.89883,83.43923,306.45,0.61,0.54,2025-03-04,2046,N,VIIRS,n,2.0NRT,284.76,2.34,N
26.77344,87.70402,331.8,0.43,0.62,2025-03-05,0802,N,VIIRS,n,2.0NRT,291.93,1.9,D
26.66717,87.45592,353.63,0.41,0.61,2025-03-05,0802,N,VIIRS,n,2.0NRT,296.77,5.8,D
26.65341,86.99835,329.3,0.39,0.59,2025-03-05,0802,N,VIIRS,n,2.0NRT,295.3,2.38,D
26.97298,85.8548,336.7,0.33,0.55,2025-03-05,0802,N,VIIRS,n,2.0NRT,296.3,3.06,D
27.08696,86.46069,367,0.36,0.58,2025-03-05,0802,N,VIIRS,h,2.0NRT,299.24,8.57,D
27.47564,85.10211,335.49,0.61,0.53,2025-03-05,0802,N,VIIRS,n,2.0NRT,297.36,7.26,D
27.58989,86.22283,340.75,0.36,0.57,2025-03-05,0802,N,VIIRS,n,2.0NRT,295.59,4.12,D
27.47507,84.35147,339.88,0.54,0.51,2025-03-05,0802,N,VIIRS,n,2.0NRT,296.26,6.02,D
